id	multiplicon	basecluster	gene_x	gene_y	coord_x	coord_y	is_real_anchorpoint
195	2	3	AT2G42580	AT3G58620	3207	4135	-1
196	2	3	AT2G42630	AT3G58640	3212	4137	-1
197	2	3	AT2G42650	AT3G58660	3214	4139	-1
198	2	3	AT2G42670	AT3G58670	3216	4140	-1
199	2	3	AT2G42680	AT3G58680	3217	4141	-1
200	2	3	AT2G42740	AT3G58700	3222	4143	-1
201	2	3	AT2G42790	AT3G58740	3227	4147	-1
202	2	3	AT2G42830	AT3G58780	3231	4149	-1
203	2	4	AT2G41940	AT3G58070	3148	4105	-1
204	2	4	AT2G41960	AT3G58050	3151	4103	-1
205	2	4	AT2G41980	AT3G58040	3153	4102	-1
206	2	4	AT2G42030	AT3G58030	3158	4101	-1
207	2	4	AT2G42130	AT3G58010	3167	4099	-1
208	2	4	AT2G42140	AT3G58000	3168	4098	-1
209	2	4	AT2G42150	AT3G57980	3169	4096	-1
210	2	4	AT2G42180	AT3G57950	3171	4093	-1
211	2	4	AT2G42190	AT3G57930	3172	4091	-1
212	2	4	AT2G42200	AT3G57920	3173	4090	-1
213	2	4	AT2G42230	AT3G57890	3176	4087	-1
214	2	4	AT2G42260	AT3G57860	3179	4084	-1
215	2	4	AT2G42290	AT3G57830	3182	4081	-1
216	2	4	AT2G42300	AT3G57800	3183	4079	-1
217	2	4	AT2G42310	AT3G57785	3184	4077	-1
218	2	4	AT2G42320	AT3G57780	3185	4076	-1
219	2	5	AT2G38810	AT3G54560	2850	3782	-1
220	2	5	AT2G38940	AT3G54700	2862	3795	-1
221	2	5	AT2G38970	AT3G54780	2865	3803	-1
222	2	5	AT2G39010	AT3G54820	2868	3807	-1
223	2	5	AT2G39130	AT3G54830	2878	3809	-1
224	2	5	AT2G39220	AT3G54950	2885	3820	-1
225	2	5	AT2G39230	AT3G54980	2886	3823	-1
226	2	5	AT2G39250	AT3G54990	2888	3824	-1
227	2	5	AT2G39280	AT3G55020	2891	3827	-1
228	2	5	AT2G39290	AT3G55030	2892	3828	-1
229	2	5	AT2G39300	AT3G55060	2893	3831	-1
230	2	5	AT2G39350	AT3G55090	2897	3834	-1
231	2	5	AT2G39380	AT3G55150	2899	3837	-1
232	2	5	AT2G39390	AT3G55170	2900	3839	-1
233	2	5	AT2G39400	AT3G55180	2901	3840	-1
234	2	5	AT2G39430	AT3G55230	2903	3843	-1
235	2	5	AT2G39460	AT3G55280	2906	3848	-1
236	2	5	AT2G39470	AT3G55330	2907	3851	-1
237	2	5	AT2G39480	AT3G55320	2908	3850	-1
238	2	5	AT2G39640	AT3G55430	2922	3861	-1
239	2	5	AT2G39660	AT3G55450	2924	3863	-1
240	2	5	AT2G39700	AT3G55500	2928	3867	-1
241	2	5	AT2G39770	AT3G55590	2937	3876	-1
242	2	5	AT2G39790	AT3G55605	2939	3878	-1
243	2	5	AT2G39800	AT3G55610	2940	3879	-1
244	2	5	AT2G39820	AT3G55620	2943	3880	-1
245	2	5	AT2G39880	AT3G55730	2949	3892	-1
246	2	5	AT2G39890	AT3G55740	2950	3893	-1
247	2	5	AT2G39900	AT3G55770	2951	3896	-1
248	2	5	AT2G40000	AT3G55840	2962	3902	-1
249	2	5	AT2G40095	AT3G55880	2972	3906	-1
250	2	5	AT2G40110	AT3G55890	2974	3907	-1
251	2	5	AT2G40116	AT3G55940	2976	3912	-1
252	2	5	AT2G40140	AT3G55980	2979	3916	-1
253	2	5	AT2G40150	AT3G55990	2980	3917	-1
254	2	5	AT2G40270	AT3G55950	2992	3913	-1
255	2	5	AT2G40280	AT3G56080	2993	3924	-1
256	2	5	AT2G40300	AT3G56090	2995	3925	-1
257	2	5	AT2G40380	AT3G56110	3001	3927	-1
258	2	5	AT2G40400	AT3G56140	3003	3930	-1
259	2	5	AT2G40410	AT3G56170	3004	3933	-1
260	2	5	AT2G40420	AT3G56200	3005	3936	-1
261	2	5	AT2G40435	AT3G56220	3007	3938	-1
262	2	5	AT2G40440	AT3G56230	3008	3939	-1
263	2	5	AT2G40480	AT3G56270	3012	3943	-1
264	2	5	AT2G40510	AT3G56340	3015	3949	-1
265	2	5	AT2G40520	AT3G56320	3016	3947	-1
266	2	5	AT2G40670	AT3G56380	3028	3953	-1
267	2	5	AT2G40720	AT3G56550	3033	3970	-1
268	2	5	AT2G40750	AT3G56400	3036	3955	-1
269	2	5	AT2G40790	AT3G56420	3042	3957	-1
270	2	5	AT2G40800	AT3G56430	3043	3958	-1
271	2	5	AT2G40810	AT3G56440	3044	3959	-1
272	2	5	AT2G40820	AT3G56480	3045	3963	-1
273	2	5	AT2G40830	AT3G56580	3046	3973	-1
274	2	5	AT2G40850	AT3G56600	3048	3975	-1
275	2	5	AT2G40900	AT3G56620	3052	3977	-1
276	2	5	AT2G40950	AT3G56660	3057	3981	-1
277	2	5	AT2G40960	AT3G56680	3059	3983	-1
278	2	5	AT2G41090	AT3G56760	3072	3991	-1
279	2	5	AT2G41210	AT3G56960	3082	4010	-1
280	2	5	AT2G41240	AT3G56970	3085	4011	-1
281	2	5	AT2G41290	AT3G57010	3088	4014	-1
282	2	5	AT2G41310	AT3G57040	3089	4015	-1
283	2	5	AT2G41330	AT3G57070	3090	4018	-1
284	2	5	AT2G41340	AT3G57080	3091	4019	-1
285	2	5	AT2G41370	AT3G57130	3094	4024	-1
286	2	5	AT2G41450	AT3G57200	3101	4031	-1
287	2	5	AT2G41490	AT3G57220	3105	4033	-1
288	2	5	AT2G41560	AT3G57330	3112	4042	-1
289	2	5	AT2G41620	AT3G57350	3116	4044	-1
290	2	5	AT2G41630	AT3G57370	3117	4046	-1
291	2	5	AT2G41640	AT3G57380	3118	4047	-1
292	2	5	AT2G41740	AT3G57410	3129	4049	-1
293	2	5	AT2G41770	AT3G57420	3132	4050	-1
294	2	5	AT2G41790	AT3G57460	3134	4054	-1
295	2	5	AT2G41835	AT3G57480	3138	4055	-1
296	2	5	AT2G41840	AT3G57490	3139	4056	-1
297	2	5	AT2G41850	AT3G57510	3140	4058	-1
298	2	5	AT2G41860	AT3G57530	3141	4060	-1
299	2	5	AT2G41870	AT3G57540	3142	4061	-1
300	2	5	AT2G41880	AT3G57550	3143	4062	-1
301	2	6	AT2G42500	AT3G58500	3200	4125	-1
302	2	6	AT2G42520	AT3G58510	3202	4126	-1
303	2	6	AT2G42720	AT3G58820	3221	4153	-1
304	2	6	AT2G42870	AT3G58850	3235	4156	-1
305	2	6	AT2G43120	AT3G59220	3261	4173	-1
306	2	6	AT2G43160	AT3G59290	3265	4175	-1
307	2	6	AT2G43230	AT3G59350	3271	4178	-1
308	2	6	AT2G43240	AT3G59360	3272	4179	-1
309	2	6	AT2G43280	AT3G59470	3276	4189	-1
310	2	6	AT2G43290	AT3G59440	3277	4186	-1
311	2	6	AT2G43460	AT3G59540	3291	4196	-1
312	2	6	AT2G43490	AT3G59570	3294	4198	-1
313	2	6	AT2G43500	AT3G59580	3295	4199	-1
314	2	6	AT2G43630	AT3G59640	3300	4204	-1
315	2	6	AT2G43680	AT3G59690	3304	4209	-1
316	2	6	AT2G43690	AT3G59700	3305	4210	-1
317	2	6	AT2G43750	AT3G59760	3310	4212	-1
318	2	6	AT2G43790	AT3G59790	3314	4215	-1
319	2	6	AT2G43795	AT3G59800	3315	4216	-1
320	2	6	AT2G43810	AT3G59810	3317	4217	-1
321	2	6	AT2G43850	AT3G59830	3319	4219	-1
322	2	6	AT2G43860	AT3G59850	3320	4222	-1
323	2	6	AT2G43945	AT3G59870	3324	4223	-1
324	2	6	AT2G44010	AT3G59880	3331	4224	-1
325	2	6	AT2G44040	AT3G59890	3334	4225	-1
326	2	6	AT2G44080	AT3G59900	3339	4226	-1
327	2	6	AT2G44090	AT3G59910	3340	4227	-1
328	2	6	AT2G44100	AT3G59920	3341	4228	-1
329	2	6	AT2G44130	AT3G59940	3344	4230	-1
330	2	6	AT2G44140	AT3G59950	3345	4231	-1
331	2	6	AT2G44150	AT3G59960	3346	4232	-1
332	2	6	AT2G44160	AT3G59970	3347	4233	-1
333	2	6	AT2G44180	AT3G59990	3349	4235	-1
334	2	6	AT2G44190	AT3G60000	3350	4236	-1
335	2	6	AT2G44330	AT3G60080	3358	4243	-1
336	2	6	AT2G44340	AT3G60090	3359	4244	-1
337	2	6	AT2G44350	AT3G60100	3360	4245	-1
338	2	7	AT2G38620	AT3G54180	2831	3746	-1
339	2	7	AT2G38630	AT3G54190	2832	3747	-1
340	2	7	AT2G38700	AT3G54250	2840	3753	-1
341	3	8	AT2G28170	AT1G08135	1879	660	-1
342	3	8	AT2G28210	AT1G08065	1882	653	-1
343	3	8	AT2G28310	AT1G08040	1890	650	-1
344	3	8	AT2G28330	AT1G08035	1893	649	-1
345	3	8	AT2G28340	AT1G08000	1894	646	-1
346	3	8	AT2G28360	AT1G07990	1897	645	-1
347	3	8	AT2G28500	AT1G07900	1910	637	-1
348	3	8	AT2G28590	AT1G07870	1918	634	-1
349	3	8	AT2G28740	AT1G07660	1934	613	-1
350	3	8	AT2G28810	AT1G07640	1939	610	-1
351	3	8	AT2G28890	AT1G07630	1946	609	-1
352	3	8	AT2G28930	AT1G07550	1950	604	-1
353	3	8	AT2G29060	AT1G07520	1956	602	-1
354	3	8	AT2G29080	AT1G07510	1958	601	-1
355	3	8	AT2G29125	AT1G07490	1961	599	-1
356	3	8	AT2G29150	AT1G07440	1964	595	-1
357	3	8	AT2G29220	AT1G07460	1967	596	-1
358	3	8	AT2G29380	AT1G07430	1969	594	-1
359	3	8	AT2G29390	AT1G07420	1970	593	-1
360	3	8	AT2G29500	AT1G07400	1974	591	-1
361	3	8	AT2G29570	AT1G07370	1981	588	-1
362	3	8	AT2G29580	AT1G07360	1982	587	-1
363	3	8	AT2G29620	AT1G07330	1987	584	-1
364	3	8	AT2G29640	AT1G07300	1989	581	-1
365	3	8	AT2G29670	AT1G07280	1992	579	-1
366	3	8	AT2G29680	AT1G07270	1993	578	-1
367	3	8	AT2G29710	AT1G07240	1996	577	-1
368	3	8	AT2G29970	AT1G07200	2011	573	-1
369	3	8	AT2G29990	AT1G07180	2013	571	-1
370	3	8	AT2G30000	AT1G07170	2015	570	-1
371	3	8	AT2G30020	AT1G07160	2017	569	-1
372	3	8	AT2G30040	AT1G07150	2018	568	-1
373	3	8	AT2G30060	AT1G07140	2020	567	-1
374	3	8	AT2G30160	AT1G07025	2030	556	-1
375	3	8	AT2G30220	AT1G06990	2034	552	-1
376	3	8	AT2G30230	AT1G06980	2035	551	-1
377	3	8	AT2G30240	AT1G06970	2036	550	-1
378	3	8	AT2G30260	AT1G06960	2038	549	-1
379	3	8	AT2G30395	AT1G06923	2050	545	-1
380	3	8	AT2G30400	AT1G06920	2051	544	-1
381	3	8	AT2G30440	AT1G06870	2055	540	-1
382	3	8	AT2G30460	AT1G06890	2056	541	-1
383	3	8	AT2G30540	AT1G06830	2064	538	-1
384	3	8	AT2G30550	AT1G06800	2065	535	-1
385	3	8	AT2G30575	AT1G06780	2068	533	-1
386	3	8	AT2G30580	AT1G06770	2069	532	-1
387	3	8	AT2G30620	AT1G06760	2073	531	-1
388	3	8	AT2G30630	AT1G06750	2074	530	-1
389	3	8	AT2G30650	AT1G06550	2075	516	-1
390	3	8	AT2G30730	AT1G06700	2083	527	-1
391	3	8	AT2G30790	AT1G06680	2087	525	-1
392	3	8	AT2G30800	AT1G06670	2088	524	-1
393	3	8	AT2G30820	AT1G06660	2090	523	-1
394	3	8	AT2G30830	AT1G06620	2091	521	-1
395	3	8	AT2G30930	AT1G06540	2099	515	-1
396	3	8	AT2G30950	AT1G06430	2102	504	-1
397	3	8	AT2G30980	AT1G06390	2105	500	-1
398	3	8	AT2G31140	AT1G06200	2122	484	-1
399	3	8	AT2G31150	AT1G06190	2123	483	-1
400	3	8	AT2G31180	AT1G06180	2126	482	-1
401	3	8	AT2G31210	AT1G06170	2129	481	-1
402	3	8	AT2G31230	AT1G06160	2130	480	-1
403	3	8	AT2G31280	AT1G06150	2135	479	-1
404	3	8	AT2G31345	AT1G06135	2142	477	-1
405	3	8	AT2G31350	AT1G06130	2143	476	-1
406	3	8	AT2G31360	AT1G06080	2144	474	-1
407	3	8	AT2G31370	AT1G06070	2145	473	-1
408	3	8	AT2G31380	AT1G06040	2146	470	-1
409	3	8	AT2G31390	AT1G06020	2147	469	-1
410	3	8	AT2G31450	AT1G05900	2153	459	-1
411	3	8	AT2G31480	AT1G05894	2156	458	-1
412	3	8	AT2G31510	AT1G05880	2159	457	-1
413	3	8	AT2G31560	AT1G05870	2162	456	-1
414	3	8	AT2G31600	AT1G05860	2166	455	-1
415	3	8	AT2G31650	AT1G05830	2169	452	-1
416	3	8	AT2G31680	AT1G05810	2172	450	-1
417	3	8	AT2G31690	AT1G05800	2173	448	-1
418	3	8	AT2G31710	AT1G05780	2175	445	-1
419	3	8	AT2G31725	AT1G05730	2177	442	-1
420	3	8	AT2G31730	AT1G05710	2178	440	-1
421	3	8	AT2G31820	AT1G05640	2185	436	-1
422	3	8	AT2G31830	AT1G05630	2186	435	-1
423	3	8	AT2G31910	AT1G05580	2193	429	-1
424	3	8	AT2G31945	AT1G05575	2197	427	-1
425	3	8	AT2G31960	AT1G05570	2200	426	-1
426	3	8	AT2G31985	AT1G05510	2204	422	-1
427	3	8	AT2G32010	AT1G05470	2206	418	-1
428	3	8	AT2G32100	AT1G05420	2214	413	-1
429	3	8	AT2G32190	AT1G05340	2221	405	-1
430	3	8	AT2G32240	AT1G05320	2225	403	-1
431	3	8	AT2G32270	AT1G05300	2228	401	-1
432	3	8	AT2G32340	AT1G05270	2236	398	-1
433	3	8	AT2G32370	AT1G05230	2239	396	-1
434	3	8	AT2G32380	AT1G05210	2240	395	-1
435	3	8	AT2G32390	AT1G05200	2241	393	-1
436	3	8	AT2G32410	AT1G05180	2242	391	-1
437	3	8	AT2G32430	AT1G05170	2244	390	-1
438	3	8	AT2G32440	AT1G05160	2245	389	-1
439	3	8	AT2G32450	AT1G05150	2246	388	-1
440	3	8	AT2G32480	AT1G05140	2249	387	-1
441	3	8	AT2G32510	AT1G05100	2252	385	-1
442	3	8	AT2G32580	AT1G05070	2257	381	-1
443	3	9	AT2G32670	AT1G04750	2264	348	-1
444	3	9	AT2G32730	AT1G04810	2268	353	-1
445	3	9	AT2G32780	AT1G04860	2273	358	-1
446	3	9	AT2G32840	AT1G04930	2279	365	-1
447	3	9	AT2G32920	AT1G04980	2287	370	-1
448	3	9	AT2G32930	AT1G04990	2288	372	-1
449	3	9	AT2G32960	AT1G05000	2291	373	-1
450	3	10	AT2G33220	AT1G04630	2311	336	-1
451	3	10	AT2G33230	AT1G04610	2312	334	-1
452	3	10	AT2G33240	AT1G04600	2314	333	-1
453	3	10	AT2G33280	AT1G04570	2319	330	-1
454	3	10	AT2G33310	AT1G04550	2322	328	-1
455	3	10	AT2G33320	AT1G04540	2323	327	-1
456	3	10	AT2G33330	AT1G04520	2324	325	-1
457	3	10	AT2G33340	AT1G04510	2325	324	-1
458	3	10	AT2G33350	AT1G04500	2326	323	-1
459	3	10	AT2G33360	AT1G04490	2327	322	-1
460	3	10	AT2G33370	AT1G04480	2328	321	-1
461	4	11	AT3G18750	AT1G49160	1675	3342	-1
462	4	11	AT3G18773	AT1G49200	1678	3346	-1
463	4	11	AT3G18780	AT1G49240	1679	3347	-1
464	4	11	AT3G18820	AT1G49300	1683	3352	-1
465	4	11	AT3G18880	AT1G49400	1689	3361	-1
466	4	11	AT3G18950	AT1G49450	1694	3367	-1
467	4	11	AT3G18960	AT1G49475	1695	3369	-1
468	4	11	AT3G19000	AT1G49390	1696	3360	-1
469	4	11	AT3G19020	AT1G49490	1697	3370	-1
470	4	11	AT3G19030	AT1G49500	1698	3371	-1
471	4	11	AT3G19080	AT1G49520	1703	3373	-1
472	4	11	AT3G19100	AT1G49580	1706	3378	-1
473	4	11	AT3G19130	AT1G49600	1708	3380	-1
474	4	11	AT3G19150	AT1G49620	1709	3382	-1
475	4	11	AT3G19170	AT1G49630	1711	3383	-1
476	4	11	AT3G19230	AT1G49730	1718	3391	-1
477	4	11	AT3G19280	AT1G49710	1723	3388	-1
478	4	11	AT3G19290	AT1G49720	1724	3390	-1
479	4	11	AT3G19310	AT1G49740	1725	3392	-1
480	4	11	AT3G19320	AT1G49750	1726	3393	-1
481	4	11	AT3G19350	AT1G49760	1728	3394	-1
482	4	11	AT3G19380	AT1G49780	1731	3396	-1
483	4	11	AT3G19490	AT1G49810	1740	3399	-1
