id	genome_x	list_x	parent	genome_y	list_y	level	number_of_anchorpoints	profile_length	begin_x	end_x	begin_y	end_y	is_redundant
143	ath	2		ath	5	2	9	43	3121	3160	3	38	0
144	ath	1		ath	1	2	9	45	4724	4781	2267	2338	-1
145	ath	3		ath	1	2	9	55	2863	2938	2502	2557	-1
146	ath	1		ath	1	2	9	75	5037	5135	4913	5010	-1
147	ath	1		ath	1	2	9	51	6513	6566	3334	3401	-1
148	ath	2		ath	1	2	9	63	1393	1463	1872	1946	-1
149	ath	2		ath	2	2	9	72	3218	3296	3034	3093	-1
150	ath	4		ath	1	2	9	73	766	854	5895	5954	-1
151	ath	3		ath	3	2	9	72	2479	2558	647	694	-1
152	ath	3		ath	1	2	9	88	4410	4505	627	714	-1
153	ath	3		ath	5	2	9	138	1557	1679	1166	1266	0
154	ath	5		ath	1	2	9	90	5546	5646	1816	1880	-1
155	ath	5		ath	1	2	9	107	5875	5987	5844	5952	-1
156	ath	5		ath	1	2	9	87	1286	1376	6151	6212	-1
157	ath	4		ath	2	2	9	88	165	262	4024	4075	-1
158	ath	4		ath	5	2	9	105	552	672	2769	2854	-1
159	ath	4		ath	3	2	9	134	3646	3796	3865	4011	-1
160	ath	4		ath	5	2	9	131	3067	3216	5071	5192	-1
161	ath	4		ath	2	2	9	121	1803	1961	3605	3674	-1
162	ath	3		ath	5	2	9	161	2705	2906	3169	3349	-1
163	ath	3		ath	3	2	9	111	2429	2552	1953	2122	-1
164	ath	3		ath	5	2	8	25	3800	3824	2171	2190	0
165	ath	3		ath	1	2	8	24	1437	1460	4209	4239	-1
166	ath	2		ath	5	2	8	29	3067	3096	145	163	-1
167	ath	3		ath	3	2	8	20	5255	5276	2246	2286	-1
168	ath	4		ath	3	2	8	45	598	649	3144	3199	-1
169	ath	2		ath	3	2	8	59	2173	2260	3555	3631	-1
170	ath	2		ath	3	2	8	60	2128	2193	4412	4482	-1
171	ath	2		ath	2	2	8	65	580	658	387	458	-1
172	ath	4		ath	5	2	8	69	3971	4055	869	924	-1
173	ath	4		ath	4	2	8	71	3600	3683	3492	3561	-1
174	ath	2		ath	3	2	8	100	376	463	3100	3181	0
175	ath	3		ath	5	2	8	85	3087	3192	2867	2969	-1
176	ath	4		ath	2	2	8	64	44	112	3904	3943	-1
177	ath	3		ath	1	2	8	66	3100	3178	3350	3435	-1
178	ath	4		ath	2	2	8	81	3897	3999	883	950	-1
179	ath	1		ath	1	2	8	102	5836	5952	3119	3243	-1
180	ath	3		ath	5	2	8	96	3072	3190	2605	2695	-1
181	ath	2		ath	5	2	8	81	1520	1613	823	879	-1
182	ath	2		ath	5	2	8	120	4054	4148	4219	4328	0
183	ath	2		ath	5	2	8	96	332	439	2809	2879	-1
184	ath	5		ath	1	2	8	81	3212	3311	6081	6200	-1
185	ath	3		ath	1	2	8	101	1526	1642	6687	6765	-1
186	ath	4		ath	5	2	8	107	695	820	2616	2706	-1
187	ath	2		ath	1	2	8	93	213	330	4898	4956	-1
188	ath	4		ath	1	2	8	146	3865	4039	1785	1946	-1
189	ath	2		ath	1	2	7	23	2149	2172	668	687	-1
190	ath	3		ath	1	2	7	36	5191	5227	162	201	-1
191	ath	4		ath	1	2	7	19	2154	2176	4914	4955	-1
192	ath	3		ath	1	2	7	39	1192	1233	6633	6665	-1
193	ath	4		ath	4	2	7	49	2096	2158	485	541	-1
194	ath	4		ath	5	2	7	43	3706	3751	6116	6169	-1
195	ath	3		ath	1	2	7	49	3897	3958	1762	1821	-1
196	ath	2		ath	3	2	7	63	3136	3190	766	813	0
197	ath	4		ath	3	2	7	34	1146	1183	647	695	-1
198	ath	4		ath	5	2	7	45	2441	2469	4355	4404	0
199	ath	4		ath	5	2	7	26	552	583	2848	2896	-1
200	ath	2		ath	5	2	7	36	1533	1572	5945	5997	-1
201	ath	4		ath	2	2	7	66	2311	2382	3941	4007	-1
202	ath	2		ath	3	2	7	58	3642	3711	4743	4844	-1
203	ath	4		ath	3	2	7	54	3502	3566	4036	4078	-1
204	ath	2		ath	5	2	7	22	2156	2179	5370	5427	-1
205	ath	3		ath	5	2	7	62	4534	4592	62	101	0
206	ath	2		ath	1	2	7	52	3599	3651	4203	4274	-1
207	ath	2		ath	5	2	7	60	1791	1854	2320	2367	-1
208	ath	4		ath	3	2	7	50	2703	2757	1470	1538	-1
209	ath	4		ath	1	2	7	56	2110	2176	1038	1119	-1
210	ath	2		ath	1	2	7	40	3928	3969	5067	5141	-1
211	ath	4		ath	1	2	7	73	3694	3774	2136	2202	-1
212	ath	4		ath	3	2	7	80	170	259	5126	5202	-1
213	ath	2		ath	1	2	7	78	3346	3433	3102	3183	-1
214	ath	2		ath	5	2	7	79	2616	2700	4151	4245	-1
215	ath	4		ath	5	2	7	75	1868	1971	3137	3212	-1
216	ath	4		ath	5	2	7	91	593	695	2677	2775	-1
217	ath	3		ath	1	2	7	101	1318	1441	5294	5421	-1
218	ath	3		ath	3	2	7	42	4255	4300	3522	3629	-1
219	ath	2		ath	3	2	7	98	676	759	3041	3155	0
220	ath	5		ath	5	2	7	84	604	706	435	495	-1
221	ath	2		ath	5	2	7	124	1904	1999	1862	1977	0
222	ath	4		ath	1	2	7	89	1454	1558	137	207	-1
223	ath	5		ath	1	2	7	73	5020	5113	608	717	-1
224	ath	4		ath	3	2	7	108	2236	2352	4252	4360	0
225	ath	5		ath	1	2	7	83	4117	4205	4651	4801	-1
226	ath	5		ath	1	2	7	64	5732	5803	5203	5342	-1
227	ath	3		ath	5	2	6	19	369	389	2645	2666	-1
228	ath	3		ath	5	2	6	26	3567	3602	5335	5367	-1
229	ath	2		ath	5	2	6	26	2165	2193	129	163	-1
230	ath	2		ath	5	2	6	32	2079	2113	2063	2096	-1
231	ath	4		ath	2	2	6	33	965	1002	3948	3984	-1
232	ath	2		ath	3	2	6	41	1604	1656	3929	3979	-1
233	ath	3		ath	5	2	6	49	2741	2794	1279	1326	-1
234	ath	2		ath	2	2	6	31	754	789	474	521	-1
235	ath	1		ath	1	2	6	34	4365	4399	799	815	-1
236	ath	5		ath	1	2	6	54	3752	3820	2877	2942	-1
237	ath	2		ath	1	2	6	56	952	996	52	100	0
238	ath	4		ath	1	2	6	55	2617	2676	4464	4521	-1
239	ath	4		ath	5	2	6	45	975	1030	3277	3311	-1
240	ath	3		ath	5	2	6	57	2977	3043	2729	2794	-1
241	ath	5		ath	1	2	6	62	2820	2885	6633	6700	-1
242	ath	2		ath	2	2	6	55	1045	1101	916	986	-1
243	ath	4		ath	5	2	6	47	1794	1847	897	920	-1
244	ath	3		ath	3	2	6	29	3925	3963	1967	2027	-1
245	ath	2		ath	2	2	6	74	3347	3428	2290	2369	-1
246	ath	4		ath	2	2	6	46	1974	2047	2794	2811	-1
247	ath	3		ath	5	2	6	77	3748	3813	4369	4454	0
248	ath	3		ath	3	2	6	67	3772	3848	1606	1678	-1
249	ath	3		ath	1	2	6	58	3369	3443	707	743	0
250	ath	5		ath	1	2	6	88	3768	3883	2687	2785	-1
251	ath	2		ath	1	2	6	71	2269	2351	1693	1785	-1
252	ath	5		ath	5	2	6	80	4042	4131	343	403	-1
253	ath	4		ath	1	2	6	103	3762	3880	4454	4569	-1
254	ath	2		ath	3	2	6	85	1456	1548	3588	3662	-1
255	ath	4		ath	1	2	5	7	162	170	0	6	-1
256	ath	3		ath	5	2	5	12	3791	3801	5757	5769	0
257	ath	4		ath	5	2	5	20	3817	3838	5972	5990	-1
258	ath	4		ath	1	2	5	20	2850	2872	342	359	-1
259	ath	5		ath	5	2	5	20	1795	1813	1093	1103	0
260	ath	1		ath	1	2	5	14	6470	6485	3526	3530	0
261	ath	3		ath	5	2	5	23	2271	2295	3667	3685	-1
262	ath	3		ath	1	2	5	26	1521	1547	1464	1488	-1
263	ath	3		ath	5	2	5	23	4058	4088	5321	5338	-1
264	ath	3		ath	1	2	5	26	474	501	166	188	-1
265	ath	5		ath	1	2	5	21	1316	1337	2267	2307	-1
266	ath	4		ath	1	2	5	13	462	478	4917	4952	-1
267	ath	2		ath	3	2	5	27	4063	4082	582	612	0
268	ath	3		ath	1	2	5	31	1200	1233	1578	1603	-1
269	ath	4		ath	1	2	5	18	3199	3219	6798	6825	-1
270	ath	1		ath	1	2	5	37	5968	6005	4279	4324	-1
271	ath	2		ath	2	2	5	27	758	789	410	444	-1
272	ath	1		ath	1	2	5	31	2420	2451	1245	1265	-1
273	ath	4		ath	2	2	5	38	3544	3583	2712	2755	-1
274	ath	3		ath	5	2	5	36	4271	4307	5367	5404	-1
275	ath	3		ath	1	2	5	33	110	142	5650	5672	-1
276	ath	2		ath	2	2	5	41	3252	3296	2152	2193	-1
277	ath	2		ath	1	2	5	24	1019	1045	1972	2015	-1
278	ath	3		ath	5	2	5	30	1850	1884	3515	3530	0
279	ath	3		ath	1	2	5	35	3582	3631	631	659	-1
280	ath	5		ath	1	2	5	50	6133	6185	1762	1816	-1
281	ath	3		ath	1	2	5	16	4300	4315	649	686	-1
282	ath	4		ath	1	2	5	25	1754	1784	2794	2837	-1
283	ath	3		ath	5	2	5	45	3548	3615	5256	5300	-1
284	ath	4		ath	1	2	5	46	434	484	1082	1123	-1
285	ath	3		ath	5	2	5	43	2479	2527	4197	4235	-1
286	ath	2		ath	5	2	5	37	1599	1641	2867	2887	-1
287	ath	4		ath	3	2	5	72	410	458	3027	3088	0
288	ath	3		ath	5	2	5	29	193	222	3005	3057	-1
289	ath	5		ath	1	2	5	58	2892	2959	3515	3559	0
290	ath	3		ath	5	2	5	56	3516	3599	5370	5434	-1
291	ath	3		ath	1	2	5	20	3879	3901	1141	1185	-1
292	ath	4		ath	2	2	5	19	2588	2606	1215	1256	-1
293	ath	5		ath	5	2	5	43	4439	4480	1163	1183	0
294	ath	1		ath	1	2	5	46	6183	6236	1844	1899	-1
295	ath	2		ath	1	2	5	52	2632	2685	278	317	-1
296	ath	4		ath	4	2	5	51	2328	2382	109	143	-1
297	ath	5		ath	1	2	5	49	4597	4655	5096	5130	-1
298	ath	4		ath	1	2	5	59	121	183	833	904	-1
299	ath	4		ath	2	2	5	77	3439	3521	2858	2933	0
300	ath	4		ath	1	2	5	57	2086	2158	4812	4901	-1
301	ath	5		ath	1	2	5	38	5546	5590	773	833	-1
302	ath	5		ath	1	2	5	45	4328	4380	3139	3216	-1
303	ath	4		ath	1	2	5	56	1030	1101	1152	1185	-1
304	ath	3		ath	5	2	5	73	3484	3584	3143	3236	-1
305	ath	3		ath	3	2	5	54	3154	3226	3100	3128	-1
306	ath	3		ath	5	2	5	81	4420	4508	5937	6011	-1
307	ath	4		ath	1	2	5	85	2215	2331	4878	4971	-1
308	ath	4		ath	5	2	5	60	1677	1741	5921	5945	-1
309	ath	2		ath	5	2	5	93	949	1056	891	990	-1
310	ath	4		ath	1	2	5	72	3595	3679	5895	5988	-1
311	ath	4		ath	3	2	5	73	3649	3725	4998	5097	-1
312	ath	4		ath	3	2	4	4	3757	3760	4007	4010	-1
313	ath	2		ath	3	2	4	4	1776	1779	3040	3043	-1
314	ath	4		ath	5	2	4	9	2038	2050	3735	3750	-1
315	ath	4		ath	2	2	4	8	3639	3647	1068	1074	-1
316	ath	3		ath	5	2	4	7	4220	4225	272	278	0
317	ath	4		ath	5	2	4	7	1526	1532	4272	4281	-1
318	ath	5		ath	5	2	4	10	5298	5307	3	18	-1
319	ath	4		ath	1	2	4	12	421	428	3555	3567	0
320	ath	4		ath	5	2	4	12	1702	1714	1533	1541	-1
321	ath	4		ath	5	2	4	12	2778	2789	4711	4725	-1
322	ath	2		ath	5	2	4	14	2917	2931	533	547	-1
323	ath	2		ath	5	2	4	13	3975	3987	4684	4700	-1
324	ath	3		ath	1	2	4	14	2329	2343	291	300	-1
325	ath	2		ath	5	2	4	6	3146	3153	40	51	-1
326	ath	4		ath	5	2	4	15	2160	2177	1356	1366	-1
327	ath	4		ath	5	2	4	20	104	124	4671	4691	-1
328	ath	4		ath	5	2	4	14	2431	2444	5955	5961	-1
329	ath	2		ath	3	2	4	18	2917	2935	1071	1085	-1
330	ath	3		ath	1	2	4	22	2255	2284	3039	3060	-1
331	ath	5		ath	1	2	4	15	2457	2473	860	870	-1
332	ath	4		ath	4	2	4	18	181	200	136	156	-1
333	ath	4		ath	2	2	4	24	1677	1703	3816	3840	-1
334	ath	4		ath	1	2	4	23	1245	1276	6154	6183	-1
335	ath	4		ath	1	2	4	22	2076	2105	5820	5845	-1
336	ath	3		ath	5	2	4	10	4249	4258	3288	3311	-1
337	ath	3		ath	5	2	4	23	2869	2905	3256	3275	-1
338	ath	3		ath	3	2	4	17	4252	4271	2883	2911	-1
339	ath	2		ath	1	2	4	24	4041	4069	844	869	-1
340	ath	2		ath	1	2	4	16	3644	3660	485	489	-1
341	ath	4		ath	5	2	4	21	35	56	3406	3420	-1
342	ath	3		ath	5	2	4	25	3837	3863	3469	3494	0
343	ath	4		ath	5	2	4	27	2847	2876	3686	3714	-1
344	ath	4		ath	3	2	4	20	410	431	3129	3155	-1
345	ath	4		ath	2	2	4	21	1397	1421	2528	2537	-1
346	ath	4		ath	1	2	4	23	2703	2727	4829	4844	-1
347	ath	4		ath	1	2	4	24	438	462	5667	5696	-1
348	ath	2		ath	3	2	4	22	1584	1614	93	121	-1
349	ath	1		ath	1	2	4	19	3338	3358	2142	2147	-1
350	ath	3		ath	5	2	4	24	4508	4532	5269	5290	-1
351	ath	4		ath	1	2	4	12	2723	2734	4173	4198	-1
352	ath	3		ath	5	2	4	14	1857	1870	4067	4092	-1
353	ath	1		ath	1	2	4	18	342	359	292	317	-1
354	ath	5		ath	5	2	4	28	5216	5246	602	627	-1
355	ath	3		ath	3	2	4	29	2510	2541	2223	2259	-1
356	ath	3		ath	1	2	4	25	5137	5163	851	870	-1
357	ath	5		ath	5	2	4	28	5367	5399	3508	3526	0
358	ath	3		ath	1	2	4	24	3879	3907	4681	4693	-1
359	ath	2		ath	1	2	4	32	1413	1448	6275	6309	-1
360	ath	5		ath	1	2	4	31	2689	2725	3415	3441	-1
361	ath	4		ath	5	2	4	21	2077	2105	6156	6185	-1
362	ath	3		ath	1	2	4	35	776	812	4222	4260	-1
363	ath	5		ath	1	2	4	26	3030	3069	5810	5850	-1
364	ath	4		ath	1	2	4	30	156	189	868	903	-1
365	ath	2		ath	2	2	4	23	3358	3384	1642	1656	-1
366	ath	4		ath	1	2	4	29	1789	1820	19	54	-1
367	ath	5		ath	1	2	4	32	5879	5911	850	878	-1
368	ath	3		ath	1	2	4	14	319	333	1792	1822	-1
369	ath	1		ath	1	2	4	38	5981	6018	4006	4044	-1
370	ath	4		ath	3	2	4	31	1146	1180	4844	4880	-1
371	ath	3		ath	3	2	4	30	5033	5069	4229	4249	-1
372	ath	1		ath	1	2	4	34	4230	4267	1623	1654	-1
373	ath	5		ath	5	2	4	41	5932	5974	3236	3284	-1
374	ath	4		ath	2	2	4	35	3985	4031	3810	3838	-1
375	ath	3		ath	3	2	4	9	5059	5069	3818	3850	-1
376	ath	2		ath	3	2	4	41	376	425	3154	3206	-1
377	ath	1		ath	1	2	4	41	5745	5791	946	990	-1
378	ath	5		ath	1	2	4	43	1704	1757	942	986	-1
379	ath	4		ath	2	2	4	44	121	166	2996	3045	-1
380	ath	3		ath	1	2	4	42	1871	1921	5325	5379	-1
381	ath	4		ath	3	2	4	29	1436	1480	4229	4271	-1
382	ath	4		ath	1	2	4	31	2677	2711	1047	1093	-1
383	ath	2		ath	5	2	4	19	1500	1519	877	909	-1
384	ath	2		ath	3	2	4	33	267	314	2332	2379	-1
385	ath	2		ath	1	2	4	38	1707	1746	3208	3243	-1
386	ath	4		ath	1	2	4	44	2473	2518	5710	5765	-1
387	ath	2		ath	1	2	4	42	949	1000	473	525	-1
388	ath	3		ath	5	2	4	45	5223	5271	3678	3723	-1
389	ath	2		ath	5	2	4	33	1683	1716	5152	5194	-1
390	ath	2		ath	1	2	4	31	3060	3093	2512	2530	-1
391	ath	5		ath	5	2	4	11	5616	5626	4549	4581	-1
392	ath	4		ath	3	2	4	38	1492	1532	474	501	0
393	ath	4		ath	1	2	4	36	3537	3574	1986	2014	-1
394	ath	4		ath	1	2	4	40	3487	3536	6267	6317	-1
395	ath	4		ath	1	2	4	49	466	526	4231	4285	-1
396	ath	3		ath	1	2	4	37	56	93	5502	5523	-1
397	ath	2		ath	5	2	4	39	40	79	3169	3212	-1
398	ath	5		ath	1	2	4	32	3036	3086	2192	2237	-1
399	ath	5		ath	1	2	4	29	6156	6185	6151	6200	-1
400	ath	3		ath	3	2	4	41	3583	3642	1301	1332	-1
401	ath	4		ath	1	2	4	51	2005	2084	5348	5421	-1
402	ath	4		ath	3	2	4	46	36	84	5045	5080	-1
403	ath	1		ath	1	2	4	52	2202	2257	953	999	-1
404	ath	4		ath	2	2	4	38	677	719	1778	1792	-1
405	ath	3		ath	1	2	4	50	2259	2322	5113	5156	-1
406	ath	5		ath	1	2	3	3	2966	2969	3350	3352	-1
407	ath	5		ath	1	2	3	3	2848	2850	3265	3267	-1
408	ath	5		ath	1	2	3	3	2848	2850	2619	2622	0
409	ath	5		ath	1	2	3	3	2693	2695	3555	3559	-1
410	ath	4		ath	5	2	3	3	2869	2872	3687	3689	-1
411	ath	4		ath	5	2	3	3	1886	1890	2693	2695	-1
412	ath	4		ath	5	2	3	3	426	428	2892	2896	-1
413	ath	4		ath	4	2	3	3	581	583	426	428	-1
414	ath	4		ath	3	2	3	3	552	555	3261	3263	-1
415	ath	4		ath	2	2	3	3	552	555	474	476	-1
416	ath	4		ath	1	2	3	3	1886	1890	3555	3559	-1
417	ath	4		ath	1	2	3	3	552	555	3265	3267	-1
418	ath	4		ath	1	2	3	3	552	555	2619	2622	-1
419	ath	3		ath	5	2	3	3	3261	3263	2848	2850	-1
420	ath	3		ath	5	2	3	3	1261	1263	2966	2969	-1
421	ath	3		ath	1	2	3	3	3261	3263	3265	3267	-1
422	ath	3		ath	1	2	3	3	3261	3263	2619	2622	-1
423	ath	3		ath	1	2	3	3	1261	1263	3350	3352	-1
424	ath	2		ath	5	2	3	3	607	609	2809	2811	-1
425	ath	2		ath	3	2	3	3	474	476	3261	3263	-1
426	ath	2		ath	3	2	3	3	376	380	1261	1263	-1
427	ath	2		ath	1	2	3	3	474	476	2619	2622	-1
428	ath	2		ath	1	2	3	3	474	476	3265	3267	-1
429	ath	2		ath	1	2	3	3	376	380	3350	3352	-1
430	ath	2		ath	1	2	3	3	91	93	5545	5547	-1
431	ath	1		ath	1	2	3	3	3265	3267	2619	2622	-1
432	ath	4		ath	5	2	3	4	2568	2572	5119	5123	-1
433	ath	3		ath	5	2	3	4	3585	3588	5362	5365	-1
434	ath	3		ath	3	2	3	4	4448	4451	855	859	-1
