id	multiplicon	genome	list	first	last	order
93	47	ath	4	AT4G29180	AT4G31250	0
94	47	ath	5	AT5G56460	AT5G58300	1
95	48	ath	4	AT4G21090	AT4G22270	0
96	48	ath	4	AT4G03820	AT4G05450	1
97	49	ath	4	AT4G35770	AT4G37610	0
98	49	ath	5	AT5G66040	AT5G67480	1
99	50	ath	3	AT3G24515	AT3G26810	0
100	50	ath	1	AT1G12820	AT1G14400	1
101	51	ath	4	AT4G00360	AT4G01520	0
102	51	ath	1	AT1G01100	AT1G01790	1
103	52	ath	3	AT3G31990	AT3G43890	0
104	52	ath	5	AT5G28980	AT5G35715	1
105	53	ath	1	AT1G60800	AT1G63350	0
106	53	ath	1	AT1G51330	AT1G52910	1
107	54	ath	4	AT4G35030	AT4G37780	0
108	54	ath	3	AT3G49690	AT3G51990	1
109	55	ath	4	AT4G03390	AT4G08470	0
110	55	ath	5	AT5G27790	AT5G32070	1
111	56	ath	4	AT4G30470	AT4G31440	0
112	56	ath	2	AT2G23910	AT2G24530	1
113	57	ath	4	AT4G18030	AT4G20460	0
114	57	ath	1	AT1G30570	AT1G33170	1
115	58	ath	5	AT5G41140	AT5G41810	0
116	58	ath	1	AT1G63300	AT1G64340	1
117	59	ath	2	AT2G45720	AT2G46870	0
118	59	ath	1	AT1G01010	AT1G01830	1
119	60	ath	4	AT4G00150	AT4G01470	0
120	60	ath	2	AT2G45160	AT2G46690	1
121	61	ath	3	AT3G05980	AT3G06410	0
122	61	ath	5	AT5G18550	AT5G19340	1
123	62	ath	4	AT4G10960	AT4G12470	0
124	62	ath	1	AT1G62500	AT1G64440	1
125	63	ath	2	AT2G16460	AT2G18210	0
126	63	ath	3	AT3G50900	AT3G51880	1
127	64	ath	4	AT4G25090	AT4G25740	0
128	64	ath	5	AT5G51060	AT5G52650	1
129	65	ath	3	AT3G27770	AT3G30530	0
130	65	ath	1	AT1G68880	AT1G70505	1
131	66	ath	4	AT4G12910	AT4G13850	0
132	66	ath	3	AT3G23830	AT3G25420	1
133	67	ath	3	AT3G09480	AT3G10000	0
134	67	ath	5	AT5G02570	AT5G03680	1
135	68	ath	4	AT4G35150	AT4G36900	0
136	68	ath	1	AT1G19210	AT1G21100	1
137	69	ath	4	AT4G26940	AT4G28110	0
138	69	ath	5	AT5G52600	AT5G54150	1
139	70	ath	4	AT4G31230	AT4G33040	0
140	70	ath	5	AT5G10520	AT5G11930	1
141	71	ath	5	AT5G63790	AT5G65700	0
142	71	ath	1	AT1G77100	AT1G78530	1
143	72	ath	1	AT1G71360	AT1G72240	0
144	72	ath	1	AT1G22470	AT1G22882	1
145	73	ath	3	AT3G48190	AT3G50000	0
146	73	ath	5	AT5G39420	AT5G40820	1
147	74	ath	2	AT2G36950	AT2G38490	0
148	74	ath	2	AT2G28090	AT2G30360	1
149	75	ath	5	AT5G14650	AT5G16170	0
150	75	ath	1	AT1G68380	AT1G70500	1
151	76	ath	5	AT5G23090	AT5G23575	0
152	76	ath	5	AT5G08190	AT5G08500	1
153	77	ath	4	AT4G38230	AT4G39230	0
154	77	ath	4	AT4G34540	AT4G35310	1
155	78	ath	2	AT2G36980	AT2G38450	0
156	78	ath	5	AT5G05340	AT5G06540	1
157	79	ath	4	AT4G15755	AT4G16270	0
158	79	ath	3	AT3G16510	AT3G17070	1
159	80	ath	4	AT4G05570	AT4G08025	0
160	80	ath	5	AT5G28970	AT5G35020	1
161	81	ath	1	AT1G68710	AT1G69790	0
162	81	ath	1	AT1G13210	AT1G14370	1
163	82	ath	4	AT4G23170	AT4G24140	0
164	82	ath	1	AT1G63550	AT1G64670	1
165	83	ath	4	AT4G34440	AT4G36410	0
166	83	ath	2	AT2G16730	AT2G18470	1
167	84	ath	2	AT2G30830	AT2G32630	0
168	84	ath	1	AT1G78440	AT1G80150	1
169	85	ath	5	AT5G35740	AT5G38340	0
170	85	ath	1	AT1G64760	AT1G66490	1
171	86	ath	2	AT2G35840	AT2G36355	0
172	86	ath	3	AT3G52340	AT3G52900	1
173	87	ath	4	AT4G38140	AT4G39250	0
174	87	ath	1	AT1G75250	AT1G76410	1
175	88	ath	2	AT2G37620	AT2G38490	0
176	88	ath	5	AT5G58380	AT5G59450	1
177	89	ath	5	AT5G39320	AT5G40440	0
178	89	ath	5	AT5G14720	AT5G15490	1
179	90	ath	2	AT2G28740	AT2G30500	0
180	90	ath	5	AT5G58320	AT5G59690	1
181	91	ath	1	AT1G25550	AT1G26970	0
182	91	ath	1	AT1G13300	AT1G14370	1
183	92	ath	2	AT2G18750	AT2G19800	0
184	92	ath	5	AT5G56600	AT5G57580	1
185	93	ath	2	AT2G02800	AT2G04038	0
186	93	ath	1	AT1G68880	AT1G69790	1
187	94	ath	2	AT2G23060	AT2G23790	0
188	94	ath	5	AT5G66580	AT5G67430	1
189	95	ath	2	AT2G02730	AT2G03890	0
190	95	ath	1	AT1G26270	AT1G27000	1
191	96	ath	4	AT4G22620	AT4G24060	0
192	96	ath	3	AT3G60690	AT3G61850	1
193	97	ath	2	AT2G05080	AT2G07630	0
194	97	ath	5	AT5G35250	AT5G37110	1
195	98	ath	1	AT1G65380	AT1G66460	0
196	98	ath	1	AT1G61590	AT1G63430	1
197	99	ath	5	AT5G64960	AT5G65210	0
198	99	ath	5	AT5G10030	AT5G10270	1
199	100	ath	1	AT1G73480	AT1G73760	0
200	100	ath	1	AT1G17970	AT1G18360	1
201	101	ath	4	AT4G28330	AT4G29080	0
202	101	ath	1	AT1G03730	AT1G04550	1
203	102	ath	5	AT5G14940	AT5G16000	0
204	102	ath	1	AT1G26120	AT1G27220	1
205	103	ath	2	AT2G07710	AT2G12700	0
206	103	ath	5	AT5G32169	AT5G35040	1
207	104	ath	4	AT4G16620	AT4G17800	0
208	104	ath	5	AT5G46390	AT5G47470	1
209	105	ath	4	AT4G36000	AT4G37380	0
210	105	ath	1	AT1G74400	AT1G75800	1
211	106	ath	3	AT3G55700	AT3G56780	0
212	106	ath	3	AT3G10660	AT3G11440	1
213	107	ath	4	AT4G33560	AT4G34220	0
214	107	ath	2	AT2G14070	AT2G15590	1
215	108	ath	4	AT4G38140	AT4G39620	0
216	108	ath	1	AT1G19290	AT1G20823	1
217	109	ath	4	AT4G00660	AT4G01680	0
218	109	ath	3	AT3G61240	AT3G61900	1
219	110	ath	4	AT4G11140	AT4G12880	0
220	110	ath	3	AT3G60270	AT3G61630	1
221	111	ath	2	AT2G01950	AT2G04040	0
222	111	ath	1	AT1G71120	AT1G72180	1
223	112	ath	5	AT5G44800	AT5G47360	0
224	112	ath	1	AT1G08600	AT1G10910	1
225	113	ath	5	AT5G42790	AT5G43080	0
226	113	ath	1	AT1G45145	AT1G47250	1
227	114	ath	5	AT5G56060	AT5G56790	0
228	114	ath	1	AT1G55200	AT1G55790	1
229	115	ath	3	AT3G54980	AT3G55660	0
230	115	ath	5	AT5G02010	AT5G02860	1
231	116	ath	3	AT3G59040	AT3G60290	0
232	116	ath	1	AT1G05570	AT1G06630	1
233	117	ath	4	AT4G36450	AT4G37240	0
234	117	ath	2	AT2G23070	AT2G23690	1
235	118	ath	3	AT3G55605	AT3G56760	0
236	118	ath	5	AT5G04870	AT5G05990	1
237	119	ath	4	AT4G31010	AT4G32430	0
238	119	ath	1	AT1G23400	AT1G25380	1
239	120	ath	2	AT2G17140	AT2G18140	0
240	120	ath	5	AT5G65820	AT5G66390	1
241	121	ath	3	AT3G48740	AT3G50310	0
242	121	ath	3	AT3G13530	AT3G14770	1
243	122	ath	4	AT4G18050	AT4G18980	0
244	122	ath	1	AT1G27940	AT1G29710	1
245	123	ath	3	AT3G49330	AT3G49570	0
246	123	ath	5	AT5G24370	AT5G24655	1
247	124	ath	4	AT4G23130	AT4G23740	0
248	124	ath	5	AT5G41280	AT5G41680	1
249	125	ath	1	AT1G69850	AT1G70300	0
250	125	ath	1	AT1G59670	AT1G60160	1
251	126	ath	2	AT2G01290	AT2G01820	0
252	126	ath	1	AT1G70450	AT1G71090	1
253	127	ath	3	AT3G25610	AT3G26020	0
254	127	ath	1	AT1G13210	AT1G13460	1
255	128	ath	3	AT3G08870	AT3G09240	0
256	128	ath	5	AT5G01040	AT5G01610	1
257	129	ath	5	AT5G59430	AT5G60080	0
258	129	ath	1	AT1G07490	AT1G07870	1
259	130	ath	3	AT3G04570	AT3G05220	0
260	130	ath	5	AT5G27690	AT5G28590	1
261	131	ath	2	AT2G40290	AT2G41090	0
262	131	ath	5	AT5G04870	AT5G05470	1
263	132	ath	3	AT3G60570	AT3G61550	0
264	132	ath	5	AT5G39260	AT5G40250	1
265	133	ath	3	AT3G60960	AT3G61960	0
266	133	ath	1	AT1G01140	AT1G01970	1
267	134	ath	2	AT2G01340	AT2G02450	0
268	134	ath	1	AT1G65910	AT1G66480	1
269	135	ath	1	AT1G79860	AT1G80870	0
270	135	ath	1	AT1G52240	AT1G53420	1
271	136	ath	3	AT3G30190	AT3G42190	0
272	136	ath	1	AT1G35770	AT1G43590	1
273	137	ath	3	AT3G60780	AT3G61970	0
274	137	ath	1	AT1G12300	AT1G13260	1
275	138	ath	4	AT4G08620	AT4G09800	0
276	138	ath	1	AT1G22150	AT1G22780	1
277	139	ath	3	AT3G49150	AT3G50720	0
278	139	ath	1	AT1G60400	AT1G62400	1
279	140	ath	3	AT3G49680	AT3G49820	0
280	140	ath	5	AT5G65780	AT5G65925	1
281	141	ath	2	AT2G40990	AT2G41180	0
282	141	ath	3	AT3G56710	AT3G56920	1
283	142	ath	3	AT3G13430	AT3G13782	0
284	142	ath	5	AT5G56340	AT5G56950	1
285	143	ath	2	AT2G37930	AT2G38320	0
286	143	ath	5	AT5G01030	AT5G01360	1
287	144	ath	1	AT1G59890	AT1G60590	0
288	144	ath	1	AT1G23460	AT1G24190	1
289	145	ath	3	AT3G28450	AT3G29100	0
290	145	ath	1	AT1G26670	AT1G27190	1
291	146	ath	1	AT1G63140	AT1G64110	0
292	146	ath	1	AT1G61870	AT1G62900	1
293	147	ath	1	AT1G77760	AT1G78290	0
294	147	ath	1	AT1G35670	AT1G37130	1
295	148	ath	2	AT2G20990	AT2G21680	0
296	148	ath	1	AT1G19460	AT1G20230	1
297	149	ath	2	AT2G38880	AT2G39700	0
298	149	ath	2	AT2G37060	AT2G37640	1
299	150	ath	4	AT4G09100	AT4G10010	0
300	150	ath	1	AT1G71530	AT1G72200	1
301	151	ath	3	AT3G24670	AT3G25600	0
302	151	ath	3	AT3G07010	AT3G07490	1
303	152	ath	3	AT3G54780	AT3G55700	0
304	152	ath	1	AT1G07240	AT1G08050	1
305	153	ath	3	AT3G15890	AT3G17070	0
306	153	ath	5	AT5G13160	AT5G14130	1
307	154	ath	5	AT5G61370	AT5G62370	0
308	154	ath	1	AT1G18900	AT1G19525	1
309	155	ath	5	AT5G64660	AT5G65700	0
310	155	ath	1	AT1G71020	AT1G72180	1
311	156	ath	5	AT5G14340	AT5G15280	0
312	156	ath	1	AT1G74080	AT1G74710	1
313	157	ath	4	AT4G01460	AT4G02300	0
314	157	ath	2	AT2G46770	AT2G47280	1
315	158	ath	4	AT4G05280	AT4G08200	0
316	158	ath	5	AT5G34820	AT5G35695	1
317	159	ath	4	AT4G36070	AT4G37590	0
318	159	ath	3	AT3G49370	AT3G50840	1
319	160	ath	4	AT4G30590	AT4G32000	0
320	160	ath	5	AT5G56790	AT5G57920	1
321	161	ath	4	AT4G18550	AT4G19990	0
322	161	ath	2	AT2G42610	AT2G43280	1
323	162	ath	3	AT3G26920	AT3G28860	0
324	162	ath	5	AT5G38990	AT5G40750	1
325	163	ath	3	AT3G24240	AT3G25560	0
326	163	ath	3	AT3G19700	AT3G21340	1
327	164	ath	3	AT3G48740	AT3G48980	0
328	164	ath	5	AT5G23660	AT5G23850	1
329	165	ath	3	AT3G14790	AT3G15030	0
330	165	ath	1	AT1G53230	AT1G53500	1
331	166	ath	2	AT2G37390	AT2G37670	0
332	166	ath	5	AT5G02430	AT5G02600	1
333	167	ath	3	AT3G63210	AT3G63420	0
334	167	ath	3	AT3G22550	AT3G22942	1
335	168	ath	4	AT4G06637	AT4G07944	0
336	168	ath	3	AT3G33572	AT3G42610	1
337	169	ath	2	AT2G28740	AT2G29670	0
338	169	ath	3	AT3G46320	AT3G47080	1
339	170	ath	2	AT2G28320	AT2G28950	0
340	170	ath	3	AT3G54800	AT3G55500	1
341	171	ath	2	AT2G07770	AT2G12190	0
342	171	ath	2	AT2G05180	AT2G06120	1
343	172	ath	4	AT4G39350	AT4G40080	0
344	172	ath	5	AT5G09870	AT5G10410	1
345	173	ath	4	AT4G35650	AT4G36490	0
346	173	ath	4	AT4G34580	AT4G35260	1
347	174	ath	2	AT2G05080	AT2G06230	0
348	174	ath	3	AT3G31980	AT3G42440	1
349	175	ath	3	AT3G31406	AT3G42550	0
350	175	ath	5	AT5G35792	AT5G37110	1
351	176	ath	4	AT4G00355	AT4G00960	0
352	176	ath	2	AT2G45590	AT2G45980	1
353	177	ath	3	AT3G31980	AT3G42410	0
354	177	ath	1	AT1G35920	AT1G42250	1
355	178	ath	4	AT4G38590	AT4G39620	0
356	178	ath	2	AT2G15980	AT2G16730	1
357	179	ath	1	AT1G70960	AT1G72180	0
358	179	ath	1	AT1G33010	AT1G34420	1
359	180	ath	3	AT3G30816	AT3G42530	0
360	180	ath	5	AT5G28110	AT5G28990	1
361	181	ath	2	AT2G22300	AT2G23190	0
362	181	ath	5	AT5G09410	AT5G09970	1
363	182	ath	2	AT2G47060	AT2G48010	0
364	182	ath	5	AT5G48740	AT5G49760	1
365	183	ath	2	AT2G04520	AT2G05890	0
366	183	ath	5	AT5G35250	AT5G35917	1
367	184	ath	5	AT5G39420	AT5G40400	0
368	184	ath	1	AT1G73450	AT1G74580	1
369	185	ath	3	AT3G15590	AT3G16710	0
370	185	ath	1	AT1G79490	AT1G80270	1
371	186	ath	4	AT4G08430	AT4G09690	0
372	186	ath	5	AT5G28235	AT5G29624	1
373	187	ath	2	AT2G03280	AT2G04500	0
374	187	ath	1	AT1G61710	AT1G62330	1
375	188	ath	4	AT4G38270	AT4G39952	0
376	188	ath	1	AT1G18580	AT1G20230	1
377	189	ath	2	AT2G28510	AT2G28725	0
378	189	ath	1	AT1G07640	AT1G07795	1
379	190	ath	3	AT3G62570	AT3G62930	0
380	190	ath	1	AT1G02650	AT1G03020	1
381	191	ath	4	AT4G21900	AT4G22120	0
382	191	ath	1	AT1G61890	AT1G62320	1
383	192	ath	3	AT3G12690	AT3G13065	0
384	192	ath	1	AT1G78940	AT1G79250	1
385	193	ath	4	AT4G21340	AT4G21940	0
386	193	ath	4	AT4G04695	AT4G05170	1
387	194	ath	4	AT4G36710	AT4G37160	0
388	194	ath	5	AT5G66920	AT5G67411	1
389	195	ath	3	AT3G49690	AT3G50310	0
390	195	ath	1	AT1G18350	AT1G18960	1
391	196	ath	2	AT2G38070	AT2G38610	0
392	196	ath	3	AT3G08620	AT3G09070	1
393	197	ath	4	AT4G12850	AT4G13210	0
394	197	ath	3	AT3G07010	AT3G07500	1
395	198	ath	4	AT4G24630	AT4G24920	0
396	198	ath	5	AT5G50020	AT5G50460	1
397	199	ath	4	AT4G05280	AT4G05581	0
398	199	ath	5	AT5G35646	AT5G36050	1
399	200	ath	2	AT2G22430	AT2G22810	0
400	200	ath	5	AT5G65310	AT5G65800	1
401	201	ath	4	AT4G23400	AT4G24060	0
402	201	ath	2	AT2G45960	AT2G46590	1
403	202	ath	2	AT2G42960	AT2G43660	0
404	202	ath	3	AT3G58100	AT3G59110	1
405	203	ath	4	AT4G34680	AT4G35300	0
406	203	ath	3	AT3G51080	AT3G51490	1
407	204	ath	2	AT2G28590	AT2G28810	0
408	204	ath	5	AT5G59616	AT5G60200	1
409	205	ath	3	AT3G55990	AT3G56580	0
410	205	ath	5	AT5G01600	AT5G01980	1
411	206	ath	2	AT2G42550	AT2G43050	0
412	206	ath	1	AT1G53165	AT1G53830	1
413	207	ath	2	AT2G25060	AT2G25640	0
414	207	ath	5	AT5G25090	AT5G25520	1
415	208	ath	4	AT4G27190	AT4G27680	0
416	208	ath	3	AT3G15120	AT3G15700	1
417	209	ath	4	AT4G21480	AT4G22120	0
418	209	ath	1	AT1G11190	AT1G11960	1
419	210	ath	2	AT2G45830	AT2G46250	0
420	210	ath	1	AT1G63420	AT1G64180	1
421	211	ath	4	AT4G36590	AT4G37380	0
422	211	ath	1	AT1G22130	AT1G22830	1
423	212	ath	4	AT4G01520	AT4G02270	0
424	212	ath	3	AT3G61910	AT3G62680	1
425	213	ath	2	AT2G40120	AT2G40930	0
426	213	ath	1	AT1G32850	AT1G33811	1
427	214	ath	2	AT2G33070	AT2G33820	0
428	214	ath	5	AT5G48180	AT5G48970	1
429	215	ath	4	AT4G19110	AT4G20090	0
430	215	ath	5	AT5G38670	AT5G39420	1
431	216	ath	4	AT4G06479	AT4G08430	0
432	216	ath	5	AT5G28810	AT5G34870	1
433	217	ath	3	AT3G13730	AT3G14840	0
434	217	ath	1	AT1G65670	AT1G66910	1
435	218	ath	3	AT3G53230	AT3G53650	0
436	218	ath	3	AT3G45980	AT3G47060	1
437	219	ath	2	AT2G12695	AT2G14450	0
438	219	ath	3	AT3G30480	AT3G42110	1
439	220	ath	5	AT5G06900	AT5G07910	0
440	220	ath	5	AT5G05260	AT5G05850	1
441	221	ath	2	AT2G26140	AT2G27080	0
442	221	ath	5	AT5G19990	AT5G21130	1
443	222	ath	4	AT4G15470	AT4G16330	0
444	222	ath	1	AT1G02400	AT1G03070	1
445	223	ath	5	AT5G56310	AT5G57180	0
446	223	ath	1	AT1G07050	AT1G08070	1
447	224	ath	4	AT4G22680	AT4G23790	0
448	224	ath	3	AT3G53200	AT3G54260	1
449	225	ath	5	AT5G47850	AT5G48620	0
450	225	ath	1	AT1G58390	AT1G60800	1
451	226	ath	5	AT5G63230	AT5G63940	0
452	226	ath	1	AT1G64760	AT1G66150	1
453	227	ath	3	AT3G04510	AT3G04700	0
454	227	ath	5	AT5G28490	AT5G28690	1
455	228	ath	3	AT3G46440	AT3G46790	0
456	228	ath	5	AT5G59290	AT5G59600	1
457	229	ath	2	AT2G28660	AT2G28950	0
458	229	ath	5	AT5G02260	AT5G02600	1
459	230	ath	2	AT2G27820	AT2G28170	0
460	230	ath	5	AT5G22630	AT5G22940	1
461	231	ath	4	AT4G11070	AT4G11400	0
462	231	ath	2	AT2G46040	AT2G46400	1
463	232	ath	2	AT2G23100	AT2G23660	0
464	232	ath	3	AT3G50010	AT3G50510	1
465	233	ath	3	AT3G27260	AT3G27785	0
466	233	ath	5	AT5G14270	AT5G14750	1
467	234	ath	2	AT2G14330	AT2G14780	0
468	234	ath	2	AT2G06610	AT2G07630	1
469	235	ath	1	AT1G54690	AT1G55050	0
470	235	ath	1	AT1G08880	AT1G09040	1
471	236	ath	5	AT5G44480	AT5G45105	0
472	236	ath	1	AT1G30620	AT1G31260	1
473	237	ath	2	AT2G16750	AT2G17180	0
474	237	ath	1	AT1G01540	AT1G02040	1
475	238	ath	4	AT4G26340	AT4G26930	0
476	238	ath	1	AT1G55660	AT1G56160	1
477	239	ath	4	AT4G11170	AT4G11690	0
478	239	ath	5	AT5G40060	AT5G40400	1
479	240	ath	3	AT3G29470	AT3G30500	0
480	240	ath	5	AT5G32482	AT5G35040	1
481	241	ath	5	AT5G35380	AT5G35960	0
482	241	ath	1	AT1G78940	AT1G79620	1
483	242	ath	2	AT2G17680	AT2G18180	0
484	242	ath	2	AT2G16380	AT2G17070	1
485	243	ath	4	AT4G18465	AT4G18960	0
486	243	ath	5	AT5G10140	AT5G10370	1
487	244	ath	3	AT3G49970	AT3G50360	0
488	244	ath	3	AT3G19850	AT3G20410	1
489	245	ath	2	AT2G40130	AT2G40890	0
490	245	ath	2	AT2G29970	AT2G30750	1
491	246	ath	4	AT4G20110	AT4G20870	0
492	246	ath	2	AT2G34770	AT2G34940	1
493	247	ath	3	AT3G48230	AT3G48870	0
494	247	ath	5	AT5G50150	AT5G50920	1
495	248	ath	3	AT3G48460	AT3G49220	0
496	248	ath	3	AT3G16370	AT3G17060	1
497	249	ath	3	AT3G44510	AT3G45190	0
498	249	ath	1	AT1G07990	AT1G08310	1
499	250	ath	5	AT5G44620	AT5G45690	0
500	250	ath	1	AT1G28430	AT1G29680	1
501	251	ath	2	AT2G29760	AT2G30575	0
502	251	ath	1	AT1G17630	AT1G18580	1
503	252	ath	5	AT5G47150	AT5G47990	0
504	252	ath	5	AT5G04330	AT5G04940	1
505	253	ath	4	AT4G37260	AT4G38420	0
506	253	ath	1	AT1G55560	AT1G56650	1
507	254	ath	2	AT2G21610	AT2G22590	0
508	254	ath	3	AT3G46650	AT3G47400	1
509	255	ath	4	AT4G01430	AT4G01520	0
510	255	ath	1	AT1G01010	AT1G01070	1
511	256	ath	3	AT3G48660	AT3G48750	0
512	256	ath	5	AT5G63500	AT5G63610	1
513	257	ath	4	AT4G37800	AT4G38010	0
514	257	ath	5	AT5G65570	AT5G65730	1
515	258	ath	4	AT4G28540	AT4G28720	0
516	258	ath	1	AT1G04440	AT1G04610	1
517	259	ath	5	AT5G19360	AT5G19520	0
518	259	ath	5	AT5G12080	AT5G12180	1
519	260	ath	1	AT1G77330	AT1G77480	0
520	260	ath	1	AT1G44090	AT1G44130	1
521	261	ath	3	AT3G22810	AT3G23030	0
522	261	ath	5	AT5G43700	AT5G43870	1
523	262	ath	3	AT3G15540	AT3G15790	0
524	262	ath	1	AT1G15340	AT1G15580	1
525	263	ath	3	AT3G51300	AT3G51590	0
526	263	ath	5	AT5G59150	AT5G59310	1
527	264	ath	3	AT3G05490	AT3G05720	0
528	264	ath	1	AT1G02690	AT1G02900	1
529	265	ath	5	AT5G14650	AT5G14890	0
530	265	ath	1	AT1G23460	AT1G23880	1
531	266	ath	4	AT4G04450	AT4G04630	0
532	266	ath	1	AT1G61930	AT1G62300	1
533	267	ath	2	AT2G47160	AT2G47350	0
534	267	ath	3	AT3G06450	AT3G06660	1
535	268	ath	3	AT3G12770	AT3G13065	0
536	268	ath	1	AT1G16480	AT1G16760	1
537	269	ath	4	AT4G31850	AT4G32030	0
538	269	ath	1	AT1G80610	AT1G80880	1
539	270	ath	1	AT1G72340	AT1G72700	0
540	270	ath	1	AT1G53880	AT1G54280	1
541	271	ath	2	AT2G14440	AT2G14780	0
542	271	ath	2	AT2G05480	AT2G05940	1
543	272	ath	1	AT1G25360	AT1G26130	0
544	272	ath	1	AT1G13210	AT1G13410	1
545	273	ath	4	AT4G35100	AT4G35480	0
546	273	ath	2	AT2G34000	AT2G34390	1
547	274	ath	3	AT3G53360	AT3G53730	0
548	274	ath	5	AT5G59600	AT5G59970	1
549	275	ath	3	AT3G02010	AT3G02310	0
550	275	ath	1	AT1G69120	AT1G69350	1
551	276	ath	2	AT2G39250	AT2G39700	0
552	276	ath	2	AT2G28550	AT2G28950	1
553	277	ath	2	AT2G17410	AT2G17680	0
554	277	ath	1	AT1G20520	AT1G20910	1
555	278	ath	3	AT3G18710	AT3G19050	0
556	278	ath	5	AT5G42340	AT5G42490	1
557	279	ath	3	AT3G46590	AT3G47080	0
558	279	ath	1	AT1G07280	AT1G07540	1
